Index;DOI;Titre;Auteur(s);Type d’article;Année;Type de critère (qualité, performance, culturel, etc.);Terme original (EN);Critère d’évaluation (FR);Définition du critère;Type du critère (Métrique, Capacité ou Mixte);Type de source / Méthodo;Type de contribution (modèle, framework, métrique, retour terrain);Etude terrain ? (Oui/Non);Interprétation stratégique / objectif  / valeur recommandée pour/ du critère (si disponible);Impact reconnu dans la littérature (si disponible);Localisation (section / figure);Inclus dans la synthèse ? (Par défaut, Oui);Apports et limites du critère (fréquence, applicabilité, terrain, remarques);ID de la métrique dans l’article
A06;10.1007/978-3-030-78098-2_7;Measuring Software Delivery Performance Using the Four Key Metrics of DevOps;Sallin et al.;conferencePaper;2021;qualité;Time to Restore Service (TTRS);Temps de rétablissement du service;Durée nécessaire pour rétablir le service après un incident (ex. : panne imprévue).;Métrique;MLR, étude de cas;métriques, prototype de mesure automatisée, étude de cas;Oui;;;Section 2 et 4;Oui;Basé sur les tickets Jira incidents;M3
A06;10.1007/978-3-030-78098-2_7;Measuring Software Delivery Performance Using the Four Key Metrics of DevOps;Sallin et al.;conferencePaper;2021;qualité;Change Failure Rate (CFR);Taux d’échec des changements;Pourcentage de changements qui entraînent une dégradation du service ou nécessitent une action corrective (rollback, patch…).;Métrique;MLR, étude de cas;métriques, prototype de mesure automatisée, étude de cas;Oui;;;Section 2 et 4;Oui;Saisie manuelle via formulaire Jenkins, analyse post-déploiement;M4
A07;10.1016/j.im.2023.103809;Capabilities and metrics in DevOps: A design science study;Amaro et al.;journalArticle;2023;culturel;Team happiness;Satisfaction des équipes;-;Métrique;MLR,  Design Science Research (DSR),  Étude empirique;modèle, métriques, framework, retour terrain;Oui;"Évoqué comme une mesure culturelle importante dans le contexte DevOps. Indicateur du climat interne et de l’engagement des équipes ; difficile à mesurer mais critique pour l’adoption DevOps.";;;Non;Mesure floue et peu standardisée. Souvent mentionnée en lien avec les échecs DevOps mais difficile à quantifier concrètement.;M42
A07;10.1016/j.im.2023.103809;Capabilities and metrics in DevOps: A design science study;Amaro et al.;journalArticle;2023;culturel;Talent retention;Rétention des talents;Taux de rétention = (Nb d’employés - Nb de départs) / Nb d’employés.;Métrique;MLR,  Design Science Research (DSR),  Étude empirique;modèle, métriques, framework, retour terrain;Oui;"Recommandé de le mesurer mensuellement. Permet d’évaluer la stabilité RH et la capacité à garder des profils clés ; un taux bas doit alerter sur l’environnement de travail.";;;Oui;Facile à mesurer si données RH accessibles. Doit être interprété avec précaution (contexte, taille des équipes, turnover normal).;M59
;10.1016/j.im.2023.103809;Capabilities and metrics in DevOps: A design science study;Amaro et al.;journalArticle;2023;culturel;Cross-team collaboration and communication;Collaboration et communication inter-équipes;;Capacité;MLR,  Design Science Research (DSR),  Étude empirique;modèle, métriques, framework, retour terrain;Oui;"Décrite comme influençant plusieurs KPIs (MLT, MTTR, CFR…). Mentionnée comme prioritaire ou critique par plusieurs praticiens dans la phase terrain de l’étude; Évoquée dès l’interview 1 comme prioritaire. Corrélée avec qualité de service, métriques de MLT, MTTR, etc.";;;;;C01
;10.1016/j.im.2023.103809;Capabilities and metrics in DevOps: A design science study;Amaro et al.;journalArticle;2023;performance;Continuous Integration;Intégration continue;;Capacité;MLR,  Design Science Research (DSR),  Étude empirique;modèle, métriques, framework, retour terrain;Oui;Décrite comme influençant plusieurs KPIs (MLT, MTTR, CFR…). Mentionnée comme prioritaire ou critique par plusieurs praticiens dans la phase terrain de l’étude . Impact observé sur des métriques. Répétée comme essentielle par plusieurs praticiens.;Oui;;;;C02
;10.1016/j.im.2023.103809;Capabilities and metrics in DevOps: A design science study;Amaro et al.;journalArticle;2023;performance;Continuous Delivery and Deployment automation;Livraison continue et automatisation du déploiement;;Capacité;MLR,  Design Science Research (DSR),  Étude empirique;modèle, métriques, framework, retour terrain;Oui;Décrite comme influençant plusieurs KPIs (MLT, MTTR, CFR…). Mentionnée comme prioritaire ou critique par plusieurs praticiens dans la phase terrain de l’étude . Idem que CI. Influence prouvée sur fréquence de déploiement et délais.;Oui;;;;C03
;10.1016/j.im.2023.103809;Capabilities and metrics in DevOps: A design science study;Amaro et al.;journalArticle;2023;qualité;Proactive Monitoring, Observability and autoscaling;Surveillance proactive, observabilité et mise à l’échelle automatique;;Capacité;MLR,  Design Science Research (DSR),  Étude empirique;modèle, métriques, framework, retour terrain;Oui;Décrite comme influençant plusieurs KPIs (MLT, MTTR, CFR…). Mentionnée comme prioritaire ou critique par plusieurs praticiens dans la phase terrain de l’étude . Permet de relier le delivery aux décisions business. Apport stratégique souligné.;Oui ;;;;C04
;10.1016/j.im.2023.103809;Capabilities and metrics in DevOps: A design science study;Amaro et al.;journalArticle;2023;performance;Test Automation and environments (Continuous testing);Automatisation des tests et environnements (tests continus);;Capacité;MLR,  Design Science Research (DSR),  Étude empirique;modèle, métriques, framework, retour terrain;Oui;;;;;;C05
;10.1016/j.im.2023.103809;Capabilities and metrics in DevOps: A design science study;Amaro et al.;journalArticle;2023;qualité;Continuous Improvement of processes and workflows;Amélioration continue des processus et des workflows;;Capacité;MLR,  Design Science Research (DSR),  Étude empirique;modèle, métriques, framework, retour terrain;Oui;Décrite comme influençant plusieurs KPIs (MLT, MTTR, CFR…). Mentionnée comme prioritaire ou critique par plusieurs praticiens dans la phase terrain de l’étude . Évoquée comme indispensable pour maîtriser les interruptions et le unplanned work (M21).;;;;;C06
;10.1016/j.im.2023.103809;Capabilities and metrics in DevOps: A design science study;Amaro et al.;journalArticle;2023;performance;Version Control System;Système de gestion de versions;;Capacité;MLR,  Design Science Research (DSR),  Étude empirique;modèle, métriques, framework, retour terrain;Oui;;;;;;C07
;10.1016/j.im.2023.103809;Capabilities and metrics in DevOps: A design science study;Amaro et al.;journalArticle;2023;culturel;Support learning culture and experimentation;Culture de l’apprentissage et de l’expérimentation;;Capacité;MLR,  Design Science Research (DSR),  Étude empirique;modèle, métriques, framework, retour terrain;Oui;;;;;;C08
;10.1016/j.im.2023.103809;Capabilities and metrics in DevOps: A design science study;Amaro et al.;journalArticle;2023;performance;Trust/empower teams to make decisions and changes;Confiance / autonomisation des équipes pour prendre des décisions et effectuer des changements;;Capacité;MLR,  Design Science Research (DSR),  Étude empirique;modèle, métriques, framework, retour terrain;Oui;Décrite comme influençant plusieurs KPIs (MLT, MTTR, CFR…). Mentionnée comme prioritaire ou critique par plusieurs praticiens dans la phase terrain de l’étude . Corrélé à la performance de delivery. Mentionné comme facteur-clé de réussite.;;;;;C09
;10.1016/j.im.2023.103809;Capabilities and metrics in DevOps: A design science study;Amaro et al.;journalArticle;2023;qualité;Focus on people, process and technology;Centré sur les personnes, les processus et la technologie;;Capacité;MLR,  Design Science Research (DSR),  Étude empirique;modèle, métriques, framework, retour terrain;Oui;;;;;;C10
;10.1016/j.im.2023.103809;Capabilities and metrics in DevOps: A design science study;Amaro et al.;journalArticle;2023;performance;Configuration Management;Gestion de configuration;;Capacité;MLR,  Design Science Research (DSR),  Étude empirique;modèle, métriques, framework, retour terrain;Oui;;;;;;C11
;10.1016/j.im.2023.103809;Capabilities and metrics in DevOps: A design science study;Amaro et al.;journalArticle;2023;performance;Cloud infrastructure and cloud-native;Infrastructure cloud et cloud-native;;Capacité;MLR,  Design Science Research (DSR),  Étude empirique;modèle, métriques, framework, retour terrain;Oui;;;;;;C12
;10.1016/j.im.2023.103809;Capabilities and metrics in DevOps: A design science study;Amaro et al.;journalArticle;2023;performance;Artifacts versioning and registry;Versionnage et registre des artefacts;;Capacité;MLR,  Design Science Research (DSR),  Étude empirique;modèle, métriques, framework, retour terrain;Oui;;;;;;C13
;10.1016/j.im.2023.103809;Capabilities and metrics in DevOps: A design science study;Amaro et al.;journalArticle;2023;performance;Loosely coupled architecture/ microservices;Architecture faiblement couplée / microservices;;Capacité;MLR,  Design Science Research (DSR),  Étude empirique;modèle, métriques, framework, retour terrain;Oui;;Oui;;;;C14
;10.1016/j.im.2023.103809;Capabilities and metrics in DevOps: A design science study;Amaro et al.;journalArticle;2023;performance;Database change management/ release alignment;Gestion des changements de base de données / alignement des versions;;Capacité;MLR,  Design Science Research (DSR),  Étude empirique;modèle, métriques, framework, retour terrain;Oui;;;;;;C15
;10.1016/j.im.2023.103809;Capabilities and metrics in DevOps: A design science study;Amaro et al.;journalArticle;2023;performance;Infrastructure as Code;Infrastructure as Code;;Capacité;MLR,  Design Science Research (DSR),  Étude empirique;modèle, métriques, framework, retour terrain;Oui;;Oui;;;;C16
;10.1016/j.im.2023.103809;Capabilities and metrics in DevOps: A design science study;Amaro et al.;journalArticle;2023;qualité;Emergency response/ proactive failure notification;Réponse d’urgence / notification proactive des défaillances;;Capacité;MLR,  Design Science Research (DSR),  Étude empirique;modèle, métriques, framework, retour terrain;Oui;;;;;;C17
;10.1016/j.im.2023.103809;Capabilities and metrics in DevOps: A design science study;Amaro et al.;journalArticle;2023;performance;Containerization;Conteneurisation;;Capacité;MLR,  Design Science Research (DSR),  Étude empirique;modèle, métriques, framework, retour terrain;Oui;;;;;;C18
;10.1016/j.im.2023.103809;Capabilities and metrics in DevOps: A design science study;Amaro et al.;journalArticle;2023;culturel;Open source software adoption;Adoption des logiciels open-source;;Capacité;MLR,  Design Science Research (DSR),  Étude empirique;modèle, métriques, framework, retour terrain;Oui;;;;;;C19
;10.1016/j.im.2023.103809;Capabilities and metrics in DevOps: A design science study;Amaro et al.;journalArticle;2023;performance;Shift left on security;Shift-left sécurité;;Capacité;MLR,  Design Science Research (DSR),  Étude empirique;modèle, métriques, framework, retour terrain;Oui;"Décrite comme influençant plusieurs KPIs (MLT, MTTR, CFR…). Mentionnée comme prioritaire ou critique par plusieurs praticiens dans la phase terrain de l’étude ; Recommandé pour réduire les failles. Mentionné plusieurs fois. Corrélé avec pratiques sécurisées automatisées.";Oui;;;;C20
;10.1016/j.im.2023.103809;Capabilities and metrics in DevOps: A design science study;Amaro et al.;journalArticle;2023;culturel;Transformational leadership;Leadership transformationnel;;Capacité;MLR,  Design Science Research (DSR),  Étude empirique;modèle, métriques, framework, retour terrain;Oui;;;;;;C21
;10.1016/j.im.2023.103809;Capabilities and metrics in DevOps: A design science study;Amaro et al.;journalArticle;2023;performance;Trunk-based development;Développement basé sur la branche principale;;Capacité;MLR,  Design Science Research (DSR),  Étude empirique;modèle, métriques, framework, retour terrain;Oui;;;;;;C22
;10.1016/j.im.2023.103809;Capabilities and metrics in DevOps: A design science study;Amaro et al.;journalArticle;2023;qualité;Monitor systems to inform business decisions;Surveillance des systèmes pour orienter les décisions métier;;Capacité;MLR,  Design Science Research (DSR),  Étude empirique;modèle, métriques, framework, retour terrain;Oui;;;;;;C23
;10.1016/j.im.2023.103809;Capabilities and metrics in DevOps: A design science study;Amaro et al.;journalArticle;2023;culturel;Performance/Westrum organizational culture;Culture organisationnelle Westrum / performance;;Capacité;MLR,  Design Science Research (DSR),  Étude empirique;modèle, métriques, framework, retour terrain;Oui;"Décrite comme influençant plusieurs KPIs (MLT, MTTR, CFR…). Mentionnée comme prioritaire ou critique par plusieurs praticiens dans la phase terrain de l’étude ; Utilisée pour expliquer l’importance de la culture DevOps et sa mesure (via M18, M42, M59).";;;;;C24
;10.1016/j.im.2023.103809;Capabilities and metrics in DevOps: A design science study;Amaro et al.;journalArticle;2023;qualité;Working in small batches;Travail en petits lots;;Capacité;MLR,  Design Science Research (DSR),  Étude empirique;modèle, métriques, framework, retour terrain;Oui;;;;;;C25
;10.1016/j.im.2023.103809;Capabilities and metrics in DevOps: A design science study;Amaro et al.;journalArticle;2023;performance;Centralized log management;Gestion centralisée des logs;;Capacité;MLR,  Design Science Research (DSR),  Étude empirique;modèle, métriques, framework, retour terrain;Oui;;;;;;C26
;10.1016/j.im.2023.103809;Capabilities and metrics in DevOps: A design science study;Amaro et al.;journalArticle;2023;qualité;Lightweight/streamlining change approval;Simplification du processus de validation des changements;;Capacité;MLR,  Design Science Research (DSR),  Étude empirique;modèle, métriques, framework, retour terrain;Oui;;;;;;C27
;10.1016/j.im.2023.103809;Capabilities and metrics in DevOps: A design science study;Amaro et al.;journalArticle;2023;qualité;Visibility of work in the value stream;Visibilité du travail dans le flux de valeur;;Capacité;MLR,  Design Science Research (DSR),  Étude empirique;modèle, métriques, framework, retour terrain;Oui;"Décrite comme influençant plusieurs KPIs (MLT, MTTR, CFR…). Mentionnée comme prioritaire ou critique par plusieurs praticiens dans la phase terrain de l’étude ; Reliée à l’efficacité perçue de l’implémentation DevOps (feedback & suivi).";;;;;C28
;10.1016/j.im.2023.103809;Capabilities and metrics in DevOps: A design science study;Amaro et al.;journalArticle;2023;qualité;Working in progress limits;Limites du travail en cours;;Capacité;MLR,  Design Science Research (DSR),  Étude empirique;modèle, métriques, framework, retour terrain;Oui;;;;;;C29
;10.1016/j.im.2023.103809;Capabilities and metrics in DevOps: A design science study;Amaro et al.;journalArticle;2023;qualité;Customer/user feedback;Retour client / utilisateur;;Capacité;MLR,  Design Science Research (DSR),  Étude empirique;modèle, métriques, framework, retour terrain;Oui;;;;;;C30
;10.1016/j.im.2023.103809;Capabilities and metrics in DevOps: A design science study;Amaro et al.;journalArticle;2023;culturel;Blameless Postmortems/reduced fear of failure;Post-mortems sans blâme / réduction de la peur de l’échec;;Capacité;MLR,  Design Science Research (DSR),  Étude empirique;modèle, métriques, framework, retour terrain;Oui;;;;;;C31
;10.1016/j.im.2023.103809;Capabilities and metrics in DevOps: A design science study;Amaro et al.;journalArticle;2023;qualité;Data-driven approach for improvements;Approche basée sur les données pour les améliorations;;Capacité;MLR,  Design Science Research (DSR),  Étude empirique;modèle, métriques, framework, retour terrain;Oui;;;;;;C32
;10.1016/j.im.2023.103809;Capabilities and metrics in DevOps: A design science study;Amaro et al.;journalArticle;2023;culturel;Job satisfaction;Satisfaction au travail;;Capacité;MLR,  Design Science Research (DSR),  Étude empirique;modèle, métriques, framework, retour terrain;Oui;;;;;;C33
;10.1016/j.im.2023.103809;Capabilities and metrics in DevOps: A design science study;Amaro et al.;journalArticle;2023;performance;Test data management;Gestion des données de test;;Capacité;MLR,  Design Science Research (DSR),  Étude empirique;modèle, métriques, framework, retour terrain;Oui;;;;;;C34
;10.1016/j.im.2023.103809;Capabilities and metrics in DevOps: A design science study;Amaro et al.;journalArticle;2023;performance;Chaos Engineering;Chaos Engineering;;Capacité;MLR,  Design Science Research (DSR),  Étude empirique;modèle, métriques, framework, retour terrain;Oui;;;;;;C35
;10.1016/j.im.2023.103809;Capabilities and metrics in DevOps: A design science study;Amaro et al.;journalArticle;2023;performance;Code maintainability;Maintenabilité du code;;Capacité;MLR,  Design Science Research (DSR),  Étude empirique;modèle, métriques, framework, retour terrain;Oui;;;;;;C36
A07;10.1016/j.im.2023.103809;Capabilities and metrics in DevOps: A design science study;Amaro et al.;journalArticle;2023;qualité;Visual management capabilities;Capacités de gestion visuelle;;Capacité;MLR,  Design Science Research (DSR),  Étude empirique;modèle, métriques, framework, retour terrain;Oui;;;;;;C37
A08;10.1109/ACCESS.2022.3174094;Toward Successful DevOps: A Decision-Making Framework;Akbar et al.;journalArticle;2022;organisationnel;Organizations start DevOps practices with small projects;Démarrer les pratiques DevOps avec des projets pilotes;;Capacité;SLR, enquête, Fuzzy AHP;pratiques, modèle de décision, retour terrain;Oui;;;;;;
;10.1109/ACCESS.2022.3174094;Toward Successful DevOps: A Decision-Making Framework;Akbar et al.;journalArticle;2022;technique;Include modeling for legacy infrastructure and applications in your DevOps plans;Inclure la modélisation de l’infrastructure et des applications existantes dans les plans DevOps;;Capacité;SLR, enquête, Fuzzy AHP;pratiques, modèle de décision, retour terrain;Oui;;;;;;
;10.1109/ACCESS.2022.3174094;Toward Successful DevOps: A Decision-Making Framework;Akbar et al.;journalArticle;2022;technique;DevOps should start with understanding how your application is architected;Commencer DevOps par une compréhension de l'architecture applicative;;Capacité;SLR, enquête, Fuzzy AHP;pratiques, modèle de décision, retour terrain;Oui;;;;;;
;10.1109/ACCESS.2022.3174094;Toward Successful DevOps: A Decision-Making Framework;Akbar et al.;journalArticle;2022;technique;Start DevOps with CI/CD implementation for easy testing and deployment;Commencer DevOps par l'implémentation du CI/CD;;Capacité;SLR, enquête, Fuzzy AHP;pratiques, modèle de décision, retour terrain;Oui;;;;;;
;10.1109/ACCESS.2022.3174094;Toward Successful DevOps: A Decision-Making Framework;Akbar et al.;journalArticle;2022;technique;Improve developers productivity by implementing automated code review;Améliorer la productivité avec des revues de code automatisées;;Mixte;SLR, enquête, Fuzzy AHP;pratiques, modèle de décision, retour terrain;Oui;;;;;;
;10.1109/ACCESS.2022.3174094;Toward Successful DevOps: A Decision-Making Framework;Akbar et al.;journalArticle;2022;qualité;Emphasize Quality Assurance Early;Mettre l'accent sur l'assurance qualité dès le début;;Capacité;SLR, enquête, Fuzzy AHP;pratiques, modèle de décision, retour terrain;Oui;;;;;;
;10.1109/ACCESS.2022.3174094;Toward Successful DevOps: A Decision-Making Framework;Akbar et al.;journalArticle;2022;qualité;Develop automated quality gates;Développer des points de contrôle qualité automatisés;;Capacité;SLR, enquête, Fuzzy AHP;pratiques, modèle de décision, retour terrain;Oui;;;;;;
;10.1109/ACCESS.2022.3174094;Toward Successful DevOps: A Decision-Making Framework;Akbar et al.;journalArticle;2022;sécurité;Ensure data consistency and data security in DevOps practices;Assurer la cohérence et la sécurité des données dans DevOps;;Capacité;SLR, enquête, Fuzzy AHP;pratiques, modèle de décision, retour terrain;Oui;;;;;;
;10.1109/ACCESS.2022.3174094;Toward Successful DevOps: A Decision-Making Framework;Akbar et al.;journalArticle;2022;technique;Apply tests at each phase of delivery cycle;Appliquer des tests à chaque étape du cycle de livraison;;Capacité;SLR, enquête, Fuzzy AHP;pratiques, modèle de décision, retour terrain;Oui;;;;;;
;10.1109/ACCESS.2022.3174094;Toward Successful DevOps: A Decision-Making Framework;Akbar et al.;journalArticle;2022;performance;Ensure traceability of software products for monitoring;Assurer la traçabilité des produits logiciels pour la supervision;;Métrique;SLR, enquête, Fuzzy AHP;pratiques, modèle de décision, retour terrain;Oui;;;;;;
;10.1109/ACCESS.2022.3174094;Toward Successful DevOps: A Decision-Making Framework;Akbar et al.;journalArticle;2022;technique;Visualize everything (Infrastructure + Application + Metrics);Tout visualiser (infrastructure, application, métriques);;Métrique;SLR, enquête, Fuzzy AHP;pratiques, modèle de décision, retour terrain;Oui;;;;;;
;10.1109/ACCESS.2022.3174094;Toward Successful DevOps: A Decision-Making Framework;Akbar et al.;journalArticle;2022;performance;Ensure continuous monitoring and alerting to achieve business goals;Mettre en place une surveillance continue pour atteindre les objectifs métier;;Métrique;SLR, enquête, Fuzzy AHP;pratiques, modèle de décision, retour terrain;Oui;;;;;;
;10.1109/ACCESS.2022.3174094;Toward Successful DevOps: A Decision-Making Framework;Akbar et al.;journalArticle;2022;performance;Always track performance of DevOps applications to remove bottlenecks;Toujours suivre la performance des applications pour détecter les goulets;;Métrique;SLR, enquête, Fuzzy AHP;pratiques, modèle de décision, retour terrain;Oui;;;;;;
;10.1109/ACCESS.2022.3174094;Toward Successful DevOps: A Decision-Making Framework;Akbar et al.;journalArticle;2022;technique;Monitor both applications and infrastructure;Superviser à la fois les applications et l'infrastructure;;Métrique;SLR, enquête, Fuzzy AHP;pratiques, modèle de décision, retour terrain;Oui;;;;;;
;10.1109/ACCESS.2022.3174094;Toward Successful DevOps: A Decision-Making Framework;Akbar et al.;journalArticle;2022;culturel;Encourage shared responsibility for all stakeholders;Encourager la responsabilité partagée entre toutes les parties prenantes;;Capacité;SLR, enquête, Fuzzy AHP;pratiques, modèle de décision, retour terrain;Oui;;;;;;
;10.1109/ACCESS.2022.3174094;Toward Successful DevOps: A Decision-Making Framework;Akbar et al.;journalArticle;2022;organisationnel;Develop information radiators to share progress with stakeholders;Développer des indicateurs visuels pour partager l'avancement;;Mixte;SLR, enquête, Fuzzy AHP;pratiques, modèle de décision, retour terrain;Oui;;;;;;
;10.1109/ACCESS.2022.3174094;Toward Successful DevOps: A Decision-Making Framework;Akbar et al.;journalArticle;2022;outillage;Use dashboards for shared understanding;Utiliser des tableaux de bord pour une compréhension partagée;;Métrique;SLR, enquête, Fuzzy AHP;pratiques, modèle de décision, retour terrain;Oui;;;;;;
;10.1109/ACCESS.2022.3174094;Toward Successful DevOps: A Decision-Making Framework;Akbar et al.;journalArticle;2022;documentation;Use version control for documentation;Utiliser le contrôle de version pour la documentation;;Capacité;SLR, enquête, Fuzzy AHP;pratiques, modèle de décision, retour terrain;Oui;;;;;;
;10.1109/ACCESS.2022.3174094;Toward Successful DevOps: A Decision-Making Framework;Akbar et al.;journalArticle;2022;documentation;Define a common vocabulary and guidelines for documentation;Définir un vocabulaire et des règles communes pour la documentation;;Capacité;SLR, enquête, Fuzzy AHP;pratiques, modèle de décision, retour terrain;Oui;;;;;;
;10.1109/ACCESS.2022.3174094;Toward Successful DevOps: A Decision-Making Framework;Akbar et al.;journalArticle;2022;documentation;Document as code approach should be followed;Suivre une approche de documentation comme du code;;Capacité;SLR, enquête, Fuzzy AHP;pratiques, modèle de décision, retour terrain;Oui;;;;;;
;10.1109/ACCESS.2022.3174094;Toward Successful DevOps: A Decision-Making Framework;Akbar et al.;journalArticle;2022;documentation;Centralize all documents in versioned repositories;Centraliser les documents dans des dépôts versionnés;;Capacité;SLR, enquête, Fuzzy AHP;pratiques, modèle de décision, retour terrain;Oui;;;;;;
;10.1109/ACCESS.2022.3174094;Toward Successful DevOps: A Decision-Making Framework;Akbar et al.;journalArticle;2022;organisationnel;Organize DevOps teams around product value;Organiser les équipes autour de la valeur produit;;Capacité;SLR, enquête, Fuzzy AHP;pratiques, modèle de décision, retour terrain;Oui;;;;;;
;10.1109/ACCESS.2022.3174094;Toward Successful DevOps: A Decision-Making Framework;Akbar et al.;journalArticle;2022;organisationnel;Cross-functional teams should be encouraged in DevOps practices;Encourager les équipes pluridisciplinaires;;Capacité;SLR, enquête, Fuzzy AHP;pratiques, modèle de décision, retour terrain;Oui;;;;;;
;10.1109/ACCESS.2022.3174094;Toward Successful DevOps: A Decision-Making Framework;Akbar et al.;journalArticle;2022;organisationnel;Define roles and responsibilities for each stakeholder;Définir les rôles et responsabilités de chaque acteur;;Capacité;SLR, enquête, Fuzzy AHP;pratiques, modèle de décision, retour terrain;Oui;;;;;;
A08;10.1109/ACCESS.2022.3174094;Toward Successful DevOps: A Decision-Making Framework;Akbar et al.;journalArticle;2022;culturel;Empower teams to take risks;Donner aux équipes la capacité de prendre des risques;;Capacité;SLR, enquête, Fuzzy AHP;pratiques, modèle de décision, retour terrain;Oui;;;;;;
A09;10.1016/j.infsof.2024.107583;Mapping DevOps capabilities to the software life cycle: A systematic literature review;Amaro et al.;journalArticle;2025;culturel;Learning and experiment;Apprendre et expérimenter;;Capacité;SLR;capabilités, modèle d’analyse;Non;;Oui;;;;
A10;10.1002/smr.2323;Readiness model for DevOps implementation in software organizations;Rafi et al.;journalArticle;2021;qualité;Inject faults to measure quality;Injection de fautes pour tester la robustesse du système;;Capacité;SLR, Questionnaire;Retour terrain validé par enquête;Oui;;;;;;
;10.1002/smr.2323;Readiness model for DevOps implementation in software organizations;Rafi et al.;journalArticle;2021;organisationnel;Increase flow by reducing batch size;Réduire la taille des lots pour fluidifier les flux;;Capacité;SLR, Questionnaire;Retour terrain validé par enquête;Oui;;;;;;
;10.1002/smr.2323;Readiness model for DevOps implementation in software organizations;Rafi et al.;journalArticle;2021;culturel;Make work visible for team in intervals;Rendre le travail visible à intervalles réguliers;;Capacité;SLR, Questionnaire;Retour terrain validé par enquête;Oui;;;;;;
;10.1002/smr.2323;Readiness model for DevOps implementation in software organizations;Rafi et al.;journalArticle;2021;culturel;Involve everyone when making adoption decisions;Impliquer tout le monde dans les décisions d’adoption;;Capacité;SLR, Questionnaire;Retour terrain validé par enquête;Oui;;;;;;
;10.1002/smr.2323;Readiness model for DevOps implementation in software organizations;Rafi et al.;journalArticle;2021;performance;Continuous check on Monitoring quality for better release;Contrôle continu de la qualité du monitoring pour de meilleures releases;;Métrique;SLR, Questionnaire;Retour terrain validé par enquête;Oui;;;;;;
;10.1002/smr.2323;Readiness model for DevOps implementation in software organizations;Rafi et al.;journalArticle;2021;technique;Continuous Automated testing environment;Environnement de test automatisé en continu;;Capacité;SLR, Questionnaire;Retour terrain validé par enquête;Oui;;;;;;
;10.1002/smr.2323;Readiness model for DevOps implementation in software organizations;Rafi et al.;journalArticle;2021;culturel;Building DevOps knowledge;Développer la connaissance DevOps;;Capacité;SLR, Questionnaire;Retour terrain validé par enquête;Oui;;;;;;
;10.1002/smr.2323;Readiness model for DevOps implementation in software organizations;Rafi et al.;journalArticle;2021;technique;Deploy Continuous delivery mechanism;Mettre en œuvre un mécanisme de livraison continue;;Capacité;SLR, Questionnaire;Retour terrain validé par enquête;Oui;;;;;;
;10.1002/smr.2323;Readiness model for DevOps implementation in software organizations;Rafi et al.;journalArticle;2021;qualité;Improved customer satisfaction level by controlling vulnerability and showing future vision;Amélioration de la satisfaction client par la gestion des vulnérabilités et la projection;;Indéfini;SLR, Questionnaire;Retour terrain validé par enquête;Oui;;;;;;
;10.1002/smr.2323;Readiness model for DevOps implementation in software organizations;Rafi et al.;journalArticle;2021;qualité;Reliable release of product to improve customer satisfaction;Release fiable du produit pour améliorer la satisfaction client;;Capacité;SLR, Questionnaire;Retour terrain validé par enquête;Oui;;;;;;
;10.1002/smr.2323;Readiness model for DevOps implementation in software organizations;Rafi et al.;journalArticle;2021;performance;Follow Accelerated time to market technology track;Suivre une trajectoire technologique à time-to-market accéléré;;Mixte;SLR, Questionnaire;Retour terrain validé par enquête;Oui;;;;;;
;10.1002/smr.2323;Readiness model for DevOps implementation in software organizations;Rafi et al.;journalArticle;2021;technique;Infrastructure as a code to quickly put together common solutions to known problems;Infrastructure as Code pour déployer des solutions réutilisables;;Capacité;SLR, Questionnaire;Retour terrain validé par enquête;Oui;;;;;;
;10.1002/smr.2323;Readiness model for DevOps implementation in software organizations;Rafi et al.;journalArticle;2021;culturel;Cohesive team work to fill gap in Isolation changes;Travail d'équipe cohésif pour combler les changements isolés;;Capacité;SLR, Questionnaire;Retour terrain validé par enquête;Oui;;;;;;
;10.1002/smr.2323;Readiness model for DevOps implementation in software organizations;Rafi et al.;journalArticle;2021;performance;Iterative development to track progress;Développement itératif pour suivre la progression;;Capacité;SLR, Questionnaire;Retour terrain validé par enquête;Oui;;;;;;
;10.1002/smr.2323;Readiness model for DevOps implementation in software organizations;Rafi et al.;journalArticle;2021;qualité;Code maintainability for continuous deployment;Maintenabilité du code pour permettre le déploiement continu;;Capacité;SLR, Questionnaire;Retour terrain validé par enquête;Oui;;;;;;
;10.1002/smr.2323;Readiness model for DevOps implementation in software organizations;Rafi et al.;journalArticle;2021;technique;Architecture modifiability;Capacité à modifier l’architecture;;Capacité;SLR, Questionnaire;Retour terrain validé par enquête;Oui;;;;;;
;10.1002/smr.2323;Readiness model for DevOps implementation in software organizations;Rafi et al.;journalArticle;2021;performance;Lean requirements at scale / Elimination of waste;Exigences lean à l’échelle / élimination du gaspillage;;Capacité;SLR, Questionnaire;Retour terrain validé par enquête;Oui;;;;;;
;10.1002/smr.2323;Readiness model for DevOps implementation in software organizations;Rafi et al.;journalArticle;2021;technique;Shift left strategy for flexible architecture;Stratégie Shift Left pour architecture flexible;;Capacité;SLR, Questionnaire;Retour terrain validé par enquête;Oui;;;;;;
;10.1002/smr.2323;Readiness model for DevOps implementation in software organizations;Rafi et al.;journalArticle;2021;performance;Infrastructure monitoring and optimization;Surveillance et optimisation de l’infrastructure;;Métrique;SLR, Questionnaire;Retour terrain validé par enquête;Oui;;;;;;
